mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	7.117911896151054E+002	-1.2598430E+000	-1.2634764E+000	-4.988746198926656E+002	-2.7936976E-003	37	6.3031632E-001
2	0	0	1	7.118095896146406E+002	-1.2580098E+000	-1.2594264E+000	-7.416005725592131E+002	-1.6577078E-002	37	9.3399131E-001
2	0	0	1	7.118429896137968E+002	-1.2546697E+000	-1.2556536E+000	-6.862760832553467E+002	-4.0333640E-002	37	8.6172503E-001
2	0	0	1	7.118761896129581E+002	-1.2513491E+000	-1.2510828E+000	-6.560953214320434E+002	-6.2574439E-002	37	8.2082957E-001
2	0	0	1	7.119095896121144E+002	-1.2480086E+000	-1.2489724E+000	-6.334251807445971E+002	-8.4077157E-002	37	7.9113060E-001
2	0	0	1	7.119429896112706E+002	-1.2446684E+000	-1.2453195E+000	-6.142822445996626E+002	-1.0488638E-001	37	7.6497763E-001
2	0	0	1	7.119761896104319E+002	-1.2413480E+000	-1.2416754E+000	-5.969045530644189E+002	-1.2496716E-001	37	7.4116170E-001
2	0	0	1	7.120095896095881E+002	-1.2380074E+000	-1.2376742E+000	-5.804635033007025E+002	-1.4460467E-001	37	7.1842474E-001
2	0	0	1	7.120429896087444E+002	-1.2346672E+000	-1.2357097E+000	-5.645953434258936E+002	-1.6370405E-001	37	6.9767594E-001
2	0	0	1	7.120761896079057E+002	-1.2313467E+000	-1.2336302E+000	-5.493803522470243E+002	-1.8217303E-001	37	6.7773217E-001
2	0	0	1	7.121095896070619E+002	-1.2280062E+000	-1.2300820E+000	-5.345187868104140E+002	-2.0025153E-001	37	6.5750194E-001
2	0	0	1	7.121429896062182E+002	-1.2246659E+000	-1.2257804E+000	-5.199821750859851E+002	-2.1783933E-001	37	6.3738394E-001
2	0	0	1	7.121761896053795E+002	-1.2213455E+000	-1.2227193E+000	-5.058628763283614E+002	-2.3484635E-001	37	6.1852831E-001
2	0	0	1	7.122095896045357E+002	-1.2180051E+000	-1.2196476E+000	-4.919740177846825E+002	-2.5148845E-001	37	6.0003495E-001
2	0	0	1	7.122429896036920E+002	-1.2146646E+000	-1.2146901E+000	-4.783706259473156E+002	-2.6767197E-001	37	5.8107203E-001
2	0	0	1	7.122761896028533E+002	-1.2113442E+000	-1.2121395E+000	-4.649954845096443E+002	-2.8331044E-001	37	5.6363940E-001
2	0	0	1	7.123095896020095E+002	-1.2080039E+000	-1.2081877E+000	-4.519434027247971E+002	-2.9860231E-001	37	5.4603249E-001
2	0	0	1	7.123429896011658E+002	-1.2046635E+000	-1.2065015E+000	-4.388230832898171E+002	-3.1345809E-001	37	5.2944070E-001
2	0	0	1	7.123763896003220E+002	-1.2013297E+000	-1.2027347E+000	-4.260935130507864E+002	-3.2788178E-001	37	5.1247746E-001
2	0	0	1	7.124095895994833E+002	-1.1980093E+000	-1.1990621E+000	-4.136238167974689E+002	-3.4180000E-001	37	4.9596065E-001
2	0	0	1	7.124429895986395E+002	-1.1946689E+000	-1.1964865E+000	-4.013345832090017E+002	-3.5538945E-001	37	4.8019141E-001
2	0	0	1	7.124763895977958E+002	-1.1913284E+000	-1.1910738E+000	-3.893205463119784E+002	-3.6857352E-001	37	4.6370950E-001
2	0	0	1	7.125095895969571E+002	-1.1880081E+000	-1.1885757E+000	-3.774911991027529E+002	-3.8128272E-001	37	4.4867688E-001
2	0	0	1	7.125429895961133E+002	-1.1846676E+000	-1.1852168E+000	-3.659064023943288E+002	-3.9367744E-001	37	4.3367842E-001
2	0	0	1	7.125763895952696E+002	-1.1813273E+000	-1.1821098E+000	-3.543408268313942E+002	-4.0568626E-001	37	4.1886976E-001
2	0	0	1	7.126095895944309E+002	-1.1780069E+000	-1.1785582E+000	-3.430367090451273E+002	-4.1724312E-001	37	4.0428874E-001
2	0	0	1	7.126429895935871E+002	-1.1746665E+000	-1.1757106E+000	-3.318413079169950E+002	-4.2849368E-001	37	3.9014933E-001
