mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	0	1.234671993133816E+002	-1.2246174E+000	-1.2251302E+000	-2.012616970585850E+002	-7.1634389E-003	37	6.4603519E-001	2.4657178E-001	-1.8711654E+000
2	0	0	1	1.236505993087485E+002	-1.2227842E+000	-1.2228767E+000	-1.983142642301291E+002	-4.3565232E-002	37	6.4505303E-001	2.4251388E-001	-1.8679297E+000
2	0	0	1	1.239839993003261E+002	-1.2194498E+000	-1.2199361E+000	-1.939869396857796E+002	-1.0886730E-001	37	6.4345723E-001	2.3665167E-001	-1.8633933E+000
2	0	0	1	1.243173992919037E+002	-1.2161161E+000	-1.2176555E+000	-1.898250363675634E+002	-1.7275788E-001	37	6.4198989E-001	2.3114151E-001	-1.8596454E+000
2	0	0	1	1.246506992834838E+002	-1.2127830E+000	-1.2127483E+000	-1.856783589806482E+002	-2.3524573E-001	37	6.4024538E-001	2.2518112E-001	-1.8529937E+000
2	0	0	1	1.249839992750640E+002	-1.2094500E+000	-1.2106464E+000	-1.815136860559443E+002	-2.9634610E-001	37	6.3903165E-001	2.1974888E-001	-1.8496780E+000
2	0	0	1	1.253173992666416E+002	-1.2061163E+000	-1.2078850E+000	-1.774644969746023E+002	-3.5609874E-001	37	6.3726264E-001	2.1435671E-001	-1.8451476E+000
2	0	0	1	1.256507992582192E+002	-1.2027819E+000	-1.2044367E+000	-1.734284812539856E+002	-4.1450095E-001	37	6.3607371E-001	2.0888361E-001	-1.8405104E+000
2	0	0	1	1.259841992497968E+002	-1.1994482E+000	-1.2005767E+000	-1.694238125077188E+002	-4.7156629E-001	37	6.3440311E-001	2.0340627E-001	-1.8349798E+000
2	0	0	1	1.263175992413744E+002	-1.1961141E+000	-1.1973312E+000	-1.653677271533620E+002	-5.2728206E-001	37	6.3283080E-001	1.9799994E-001	-1.8301620E+000
2	0	0	1	1.266509992329520E+002	-1.1927800E+000	-1.1928955E+000	-1.612874797669683E+002	-5.8164066E-001	37	6.3120919E-001	1.9239911E-001	-1.8241048E+000
2	0	0	1	1.269842992245322E+002	-1.1894473E+000	-1.1901973E+000	-1.573365228888420E+002	-6.3464630E-001	37	6.2969840E-001	1.8726151E-001	-1.8198957E+000
2	0	0	1	1.273175992161123E+002	-1.1861140E+000	-1.1877806E+000	-1.534916958705135E+002	-6.8635237E-001	37	6.2821537E-001	1.8231446E-001	-1.8159959E+000
2	0	0	1	1.276509992076899E+002	-1.1827801E+000	-1.1851546E+000	-1.495644372267446E+002	-7.3678142E-001	37	6.2661332E-001	1.7725697E-001	-1.8117678E+000
2	0	0	1	1.279843991992675E+002	-1.1794459E+000	-1.1818042E+000	-1.457039966774632E+002	-7.8591186E-001	37	6.2512076E-001	1.7219359E-001	-1.8069249E+000
2	0	0	1	1.283177991908451E+002	-1.1761121E+000	-1.1780366E+000	-1.418866464824528E+002	-8.3375978E-001	37	6.2344921E-001	1.6714765E-001	-1.8014858E+000
2	0	0	1	1.286511991824227E+002	-1.1727780E+000	-1.1745745E+000	-1.382227780848070E+002	-8.8036340E-001	37	6.2195295E-001	1.6235295E-001	-1.7965274E+000
