mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	0	1.234681993134291E+002	-1.2162880E+000	-1.2185614E+000	-1.979847578160905E+002	-7.0462306E-003	37	6.3742423E-001	2.4125658E-001	-1.8559856E+000
2	0	0	1	1.236515993087960E+002	-1.2144545E+000	-1.2145466E+000	-1.958029320555804E+002	-4.2970531E-002	37	6.3703841E-001	2.3781177E-001	-1.8515849E+000
2	0	0	1	1.239849993003736E+002	-1.2111204E+000	-1.2120477E+000	-1.915508778882095E+002	-1.0743848E-001	37	6.3550413E-001	2.3216879E-001	-1.8475518E+000
2	0	0	1	1.243183992919512E+002	-1.2077866E+000	-1.2086323E+000	-1.872459532311971E+002	-1.7047918E-001	37	6.3397008E-001	2.2631152E-001	-1.8426025E+000
2	0	0	1	1.246516992835313E+002	-1.2044537E+000	-1.2052166E+000	-1.830876980406083E+002	-2.3209548E-001	37	6.3275301E-001	2.2066034E-001	-1.8379697E+000
2	0	0	1	1.249849992751115E+002	-1.2011206E+000	-1.2016944E+000	-1.789244676052886E+002	-2.9231909E-001	37	6.3096333E-001	2.1501252E-001	-1.8326577E+000
2	0	0	1	1.253183992666891E+002	-1.1977867E+000	-1.1978171E+000	-1.748215687079019E+002	-3.5118815E-001	37	6.2950122E-001	2.0940426E-001	-1.8273183E+000
2	0	0	1	1.256517992582667E+002	-1.1944524E+000	-1.1935091E+000	-1.708349572605675E+002	-4.0870845E-001	37	6.2832546E-001	2.0389308E-001	-1.8218346E+000
2	0	0	1	1.259851992498443E+002	-1.1911186E+000	-1.1904579E+000	-1.667281966796766E+002	-4.6487772E-001	37	6.2698889E-001	1.9848290E-001	-1.8174468E+000
2	0	0	1	1.263185992414219E+002	-1.1877846E+000	-1.1884234E+000	-1.626326661563135E+002	-5.1967579E-001	37	6.2512594E-001	1.9327646E-001	-1.8135493E+000
2	0	0	1	1.266519992329995E+002	-1.1844506E+000	-1.1849332E+000	-1.586281255174292E+002	-5.7313013E-001	37	6.2420392E-001	1.8796372E-001	-1.8091371E+000
2	0	0	1	1.269852992245796E+002	-1.1811175E+000	-1.1821268E+000	-1.546315475090640E+002	-6.2523204E-001	37	6.2259126E-001	1.8279409E-001	-1.8047180E+000
2	0	0	1	1.273185992161598E+002	-1.1777846E+000	-1.1774348E+000	-1.506969929341185E+002	-6.7601019E-001	37	6.2091470E-001	1.7743589E-001	-1.7983495E+000
2	0	0	1	1.276519992077374E+002	-1.1744505E+000	-1.1750244E+000	-1.466535277413191E+002	-7.2548068E-001	37	6.1939740E-001	1.7232147E-001	-1.7944218E+000
2	0	0	1	1.279853991993150E+002	-1.1711165E+000	-1.1709535E+000	-1.427287198820686E+002	-7.7362293E-001	37	6.1774689E-001	1.6712870E-001	-1.7887003E+000
2	0	0	1	1.283187991908926E+002	-1.1677828E+000	-1.1677295E+000	-1.387511128421379E+002	-8.2043648E-001	37	6.1629283E-001	1.6202377E-001	-1.7840223E+000
2	0	0	1	1.286521991824702E+002	-1.1644486E+000	-1.1653357E+000	-1.349112425303815E+002	-8.6595076E-001	37	6.1465943E-001	1.5721688E-001	-1.7799951E+000
2	0	0	1	1.289855991740478E+002	-1.1611145E+000	-1.1624991E+000	-1.310855692944535E+002	-9.1019166E-001	37	6.1336023E-001	1.5238686E-001	-1.7758594E+000
2	0	0	1	1.293188991656280E+002	-1.1577816E+000	-1.1593928E+000	-1.273100249829236E+002	-9.5314968E-001	37	6.1164325E-001	1.4760233E-001	-1.7710361E+000
2	0	0	1	1.296521991572081E+002	-1.1544485E+000	-1.1548964E+000	-1.234380784097802E+002	-9.9483299E-001	37	6.1035556E-001	1.4255819E-001	-1.7652519E+000
2	0	0	1	1.299855991487857E+002	-1.1511148E+000	-1.1507791E+000	-1.195693150639695E+002	-1.0352390E+000	37	6.0865271E-001	1.3759787E-001	-1.7594318E+000
2	0	0	1	1.303189991403633E+002	-1.1477807E+000	-1.1476243E+000	-1.158422193373124E+002	-1.0743791E+000	37	6.0724157E-001	1.3294335E-001	-1.7548659E+000
2	0	0	1	1.306523991319409E+002	-1.1444466E+000	-1.1436797E+000	-1.120727947781550E+002	-1.1122687E+000	37	6.0541660E-001	1.2817538E-001	-1.7490964E+000
2	0	0	1	1.309857991235185E+002	-1.1411124E+000	-1.1410925E+000	-1.083891845621160E+002	-1.1489209E+000	37	6.0355836E-001	1.2368209E-001	-1.7446508E+000
