mode	error	time/s	<Ewe/V>	
3	1	4.999999873689376E-001	-4.3684649E-001
3	0	9.999999747378752E-001	-4.3654430E-001
3	0	1.499999962106813E+000	-4.3661851E-001
3	0	1.999999949475750E+000	-4.3669605E-001
3	0	2.499999936844688E+000	-4.3709219E-001
3	0	2.999999924213625E+000	-4.3771812E-001
3	0	3.499999911582563E+000	-4.3711308E-001
3	0	3.999999898951501E+000	-4.3720576E-001
3	0	4.499999886320438E+000	-4.3728042E-001
3	0	4.999999873689376E+000	-4.3748400E-001
3	0	5.499999861058313E+000	-4.3753672E-001
3	0	5.999999848427251E+000	-4.3758786E-001
3	0	6.499999835796189E+000	-4.3777412E-001
3	0	6.999999823165126E+000	-4.3801579E-001
3	0	7.499999810534064E+000	-4.3795693E-001
3	0	7.999999797903001E+000	-4.3804738E-001
3	0	8.499999785271939E+000	-4.3815014E-001
3	0	8.999999772640876E+000	-4.3830127E-001
3	0	9.499999760009814E+000	-4.3832511E-001
3	0	9.999999747378752E+000	-4.3844908E-001
3	0	1.049999973474769E+001	-4.3857446E-001
3	0	1.099999972211663E+001	-4.3867496E-001
3	0	1.149999970948556E+001	-4.3867770E-001
3	0	1.199999969685450E+001	-4.3899575E-001
3	0	1.249999968422344E+001	-4.3897182E-001
3	0	1.299999967159238E+001	-4.3906149E-001
3	0	1.349999965896131E+001	-4.3891934E-001
3	0	1.399999964633025E+001	-4.3934667E-001
3	0	1.449999963369919E+001	-4.3921968E-001
3	0	1.499999962106813E+001	-4.3933326E-001
3	0	1.549999960843707E+001	-4.3939361E-001
3	0	1.599999959580600E+001	-4.3874985E-001
3	0	1.649999958317494E+001	-4.3789032E-001
3	0	1.699999957054388E+001	-4.3853331E-001
3	0	1.749999955791282E+001	-4.3596679E-001
3	0	1.799999954528175E+001	-4.3005928E-001
3	0	1.849999953265069E+001	-4.3483344E-001
3	0	1.899999952001963E+001	-4.4082657E-001
3	0	1.949999950738857E+001	-4.3939888E-001
3	0	1.999999949475750E+001	-4.4032475E-001
3	0	2.049999948212644E+001	-4.4050792E-001
3	0	2.099999946949538E+001	-4.4060025E-001
3	0	2.149999945686432E+001	-4.4067106E-001
3	0	2.199999944423325E+001	-4.4070509E-001
3	0	2.249999943160219E+001	-4.4085509E-001
3	0	2.299999941897113E+001	-4.4091880E-001
3	0	2.349999940634007E+001	-4.4103661E-001
3	0	2.399999939370900E+001	-4.4119552E-001
3	0	2.449999938107794E+001	-4.4119531E-001
3	0	2.499999936844688E+001	-4.4134057E-001
3	0	2.549999935581582E+001	-4.4141686E-001
3	0	2.599999934318475E+001	-4.4151744E-001
3	0	2.649999933055369E+001	-4.4156793E-001
3	0	2.699999931792263E+001	-4.4164169E-001
