mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	1.114901986523910E+002	-1.2598430E+000	-1.2606419E+000	-2.707618103027344E+002	-1.5162659E-003	37	3.4133369E-001
2	0	0	1	1.115085986519262E+002	-1.2580098E+000	-1.2588893E+000	-2.931944735007837E+002	-6.9502653E-003	37	3.6909938E-001
2	0	0	1	1.115419986510824E+002	-1.2546697E+000	-1.2543482E+000	-2.716512091834461E+002	-1.6347716E-002	37	3.4074518E-001
2	0	0	1	1.115751986502437E+002	-1.2513491E+000	-1.2519281E+000	-2.579246510925988E+002	-2.5115546E-002	37	3.2290313E-001
2	0	0	1	1.116085986493999E+002	-1.2480086E+000	-1.2474886E+000	-2.473316991654156E+002	-3.3534121E-002	37	3.0854347E-001
2	0	0	1	1.116419986485562E+002	-1.2446684E+000	-1.2453896E+000	-2.385918440532685E+002	-4.1631967E-002	37	2.9713979E-001
2	0	0	1	1.116751986477175E+002	-1.2413480E+000	-1.2436318E+000	-2.308608314401135E+002	-4.9408786E-002	37	2.8710589E-001
2	0	0	1	1.117085986468737E+002	-1.2380074E+000	-1.2398105E+000	-2.237109354337047E+002	-5.6985453E-002	37	2.7735916E-001
2	0	0	1	1.117419986460300E+002	-1.2346672E+000	-1.2357305E+000	-2.172337477500345E+002	-6.4335242E-002	37	2.6844236E-001
2	0	0	1	1.117751986451913E+002	-1.2313467E+000	-1.2312168E+000	-2.110835831133513E+002	-7.1431667E-002	37	2.5988966E-001
2	0	0	1	1.118085986443475E+002	-1.2280062E+000	-1.2286745E+000	-2.053399295460736E+002	-7.8372426E-002	37	2.5229594E-001
2	0	0	1	1.118419986435038E+002	-1.2246659E+000	-1.2262005E+000	-1.997057624629681E+002	-8.5123748E-002	37	2.4487931E-001
2	0	0	1	1.118751986426651E+002	-1.2213455E+000	-1.2224673E+000	-1.942031994102618E+002	-9.1649257E-002	37	2.3740706E-001
2	0	0	1	1.119085986418213E+002	-1.2180051E+000	-1.2181085E+000	-1.886049194328875E+002	-9.8028347E-002	37	2.2974126E-001
2	0	0	1	1.119419986409775E+002	-1.2146646E+000	-1.2146224E+000	-1.833832013585834E+002	-1.0422752E-001	37	2.2274134E-001
2	0	0	1	1.119751986401388E+002	-1.2113442E+000	-1.2130444E+000	-1.782647857923862E+002	-1.1021800E-001	37	2.1624310E-001
2	0	0	1	1.120085986392951E+002	-1.2080039E+000	-1.2070743E+000	-1.729941561472849E+002	-1.1607118E-001	37	2.0881680E-001
2	0	0	1	1.120419986384513E+002	-1.2046635E+000	-1.2059215E+000	-1.679302475106274E+002	-1.2175155E-001	37	2.0251070E-001
2	0	0	1	1.120753986376076E+002	-1.2013297E+000	-1.2020184E+000	-1.628986295618829E+002	-1.2726328E-001	37	1.9580714E-001
2	0	0	1	1.121085986367689E+002	-1.1980093E+000	-1.1992449E+000	-1.578598731267007E+002	-1.3257495E-001	37	1.8931264E-001
2	0	0	1	1.121419986359251E+002	-1.1946689E+000	-1.1961811E+000	-1.527206950424347E+002	-1.3774879E-001	37	1.8268161E-001
2	0	0	1	1.121753986350814E+002	-1.1913284E+000	-1.1922737E+000	-1.477543382300273E+002	-1.4275390E-001	37	1.7616361E-001
2	0	0	1	1.122085986342427E+002	-1.1880081E+000	-1.1881574E+000	-1.428620795527218E+002	-1.4756557E-001	37	1.6974264E-001
2	0	0	1	1.122419986333989E+002	-1.1846676E+000	-1.1843345E+000	-1.378611956956656E+002	-1.5224050E-001	37	1.6327377E-001
2	0	0	1	1.122753986325552E+002	-1.1813273E+000	-1.1815062E+000	-1.329957462775267E+002	-1.5675083E-001	37	1.5713529E-001
2	0	0	1	1.123085986317165E+002	-1.1780069E+000	-1.1792189E+000	-1.281554735134260E+002	-1.6107324E-001	37	1.5112336E-001
2	0	0	1	1.123419986308727E+002	-1.1746665E+000	-1.1752338E+000	-1.233614980095406E+002	-1.6526079E-001	37	1.4497861E-001
2	0	0	1	1.123753986300289E+002	-1.1713260E+000	-1.1720675E+000	-1.184940585710386E+002	-1.6928689E-001	37	1.3888304E-001
2	0	0	1	1.124085986291902E+002	-1.1680057E+000	-1.1681762E+000	-1.137749825620654E+002	-1.7312957E-001	37	1.3290922E-001
2	0	0	1	1.124419986283465E+002	-1.1646651E+000	-1.1655782E+000	-1.088996296465841E+002	-1.7683548E-001	37	1.2693104E-001
2	0	0	1	1.124753986275027E+002	-1.1613249E+000	-1.1603092E+000	-1.041008409833910E+002	-1.8038009E-001	37	1.2078916E-001
2	0	0	1	1.125085986266640E+002	-1.1580044E+000	-1.1571025E+000	-9.925983577710622E+001	-1.8374318E-001	37	1.1485380E-001
2	0	0	1	1.125419986258203E+002	-1.1546640E+000	-1.1569453E+000	-9.451678991441372E+001	-1.8696660E-001	37	1.0935076E-001
2	0	0	1	1.125753986249765E+002	-1.1513236E+000	-1.1514589E+000	-8.976027868341521E+001	-1.9003126E-001	37	1.0335527E-001
2	0	0	1	1.126086986241353E+002	-1.1479987E+000	-1.1476952E+000	-8.500972830187851E+001	-1.9292867E-001	37	9.7565256E-002
2	0	0	1	1.126419986232941E+002	-1.1446695E+000	-1.1456107E+000	-8.032632240260091E+001	-1.9566914E-001	37	9.2022695E-002
2	0	0	1	1.126753986224503E+002	-1.1413291E+000	-1.1418823E+000	-7.569710925738082E+001	-1.9826201E-001	37	8.6437188E-002
2	0	0	1	1.127087986216065E+002	-1.1379887E+000	-1.1380467E+000	-7.100153739999814E+001	-2.0069927E-001	37	8.0803066E-002
2	0	0	1	1.127419986207678E+002	-1.1346684E+000	-1.1349350E+000	-6.630996726883771E+001	-2.0296587E-001	37	7.5257502E-002
2	0	0	1	1.127753986199241E+002	-1.1313279E+000	-1.1326536E+000	-6.163316742711574E+001	-2.0508943E-001	37	6.9809027E-002
2	0	0	1	1.128087986190803E+002	-1.1279875E+000	-1.1289858E+000	-5.694166504868747E+001	-2.0705646E-001	37	6.4286329E-002
2	0	0	1	1.128419986182416E+002	-1.1246672E+000	-1.1245145E+000	-5.228032399592564E+001	-2.0885579E-001	37	5.8789980E-002
2	0	0	1	1.128753986173979E+002	-1.1213267E+000	-1.1208968E+000	-4.757643042537904E+001	-2.1051046E-001	37	5.3328268E-002
2	0	0	1	1.129087986165541E+002	-1.1179863E+000	-1.1189795E+000	-4.293275715527693E+001	-2.1200927E-001	37	4.8040874E-002
2	0	0	1	1.129419986157154E+002	-1.1146659E+000	-1.1157094E+000	-3.827712785667836E+001	-2.1334425E-001	37	4.2706151E-002
2	0	0	1	1.129903986144927E+002	-1.1098235E+000	-1.1097643E+000	-3.153986203056795E+001	-2.1500947E-001	37	3.5001814E-002
2	0	0	1	1.130387986132700E+002	-1.1049845E+000	-1.1062545E+000	-2.461039436901058E+001	-2.1643981E-001	38	2.7225358E-002
2	0	0	1	1.130719986124313E+002	-1.1016643E+000	-1.1020904E+000	-1.990057637249981E+001	-2.1716639E-001	38	2.1932233E-002
2	0	0	1	1.131053986115876E+002	-1.0983238E+000	-1.0983812E+000	-1.516035088316155E+001	-2.1773976E-001	38	1.6651845E-002
2	0	0	1	1.131387986107438E+002	-1.0949836E+000	-1.0956187E+000	-1.040843564194661E+001	-2.1815489E-001	38	1.1403677E-002
2	0	0	1	1.131720986099026E+002	-1.0916586E+000	-1.0930107E+000	-5.683644459199783E+000	-2.1841051E-001	38	6.2122839E-003
2	0	0	1	1.132053986090614E+002	-1.0883293E+000	-1.0896708E+000	-9.411617943177539E-001	-2.1850887E-001	38	1.0255565E-003
2	1	0	1	1.132387986082176E+002	-1.0849890E+000	-1.0845662E+000	3.857855093506751E+000	-2.1844795E-001	38	-4.1840994E-003
2	1	0	1	1.132721986073739E+002	-1.0816486E+000	-1.0830849E+000	8.697148293952155E+000	-2.1822591E-001	38	-9.4197504E-003
2	1	0	1	1.133053986065352E+002	-1.0783281E+000	-1.0790092E+000	1.353040425205678E+001	-2.1784471E-001	38	-1.4599430E-002
2	1	0	1	1.133387986056914E+002	-1.0749878E+000	-1.0739236E+000	1.841852990768581E+001	-2.1729898E-001	38	-1.9780094E-002
2	1	0	1	1.133721986048477E+002	-1.0716473E+000	-1.0720943E+000	2.337808261756544E+001	-2.1658872E-001	38	-2.5063509E-002
2	1	0	1	1.134053986040090E+002	-1.0683270E+000	-1.0701663E+000	2.833832145028640E+001	-2.1571815E-001	38	-3.0326718E-002
2	1	0	1	1.134387986031652E+002	-1.0649866E+000	-1.0657640E+000	3.333866191912591E+001	-2.1467571E-001	38	-3.5531145E-002
2	1	0	1	1.134721986023214E+002	-1.0616461E+000	-1.0617251E+000	3.831421848235277E+001	-2.1346696E-001	38	-4.0679168E-002
2	1	0	1	1.135053986014827E+002	-1.0583258E+000	-1.0586654E+000	4.325649728863340E+001	-2.1210061E-001	38	-4.5794155E-002
2	1	0	1	1.135387986006390E+002	-1.0549853E+000	-1.0575355E+000	4.818701982807232E+001	-2.1056113E-001	38	-5.0959487E-002
2	1	0	1	1.135721985997952E+002	-1.0516449E+000	-1.0527256E+000	5.319140258427007E+001	-2.0885582E-001	38	-5.5995949E-002
2	1	0	1	1.136053985989565E+002	-1.0483245E+000	-1.0502130E+000	5.821677343483327E+001	-2.0699430E-001	38	-6.1140012E-002
2	1	0	1	1.136387985981128E+002	-1.0449842E+000	-1.0448760E+000	6.325088694996305E+001	-2.0495339E-001	38	-6.6089332E-002
2	1	0	1	1.136721985972690E+002	-1.0416436E+000	-1.0406471E+000	6.862068987069307E+001	-2.0273876E-001	38	-7.1409926E-002
2	1	0	1	1.137054985964278E+002	-1.0383167E+000	-1.0384884E+000	7.430585601085943E+001	-2.0034602E-001	38	-7.7165768E-002
2	1	0	1	1.137387985955866E+002	-1.0349895E+000	-1.0373480E+000	7.983342913451020E+001	-1.9776684E-001	38	-8.2815051E-002
2	1	0	1	1.137721985947428E+002	-1.0316491E+000	-1.0302607E+000	8.521129343315374E+001	-1.9499789E-001	38	-8.7789848E-002
2	1	0	1	1.138055985938990E+002	-1.0283087E+000	-1.0285393E+000	9.057545592608278E+001	-1.9204943E-001	38	-9.3160413E-002
2	1	0	1	1.138387985930603E+002	-1.0249883E+000	-1.0252385E+000	9.603128604535709E+001	-1.8893881E-001	38	-9.8454975E-002
2	1	0	1	1.138721985922166E+002	-1.0216479E+000	-1.0210005E+000	1.016518309172878E+002	-1.8562478E-001	38	-1.0378657E-001
