mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	1	4.391321920825430E+002	-1.1346684E+000	-1.1358860E+000	-1.695391345289017E+002	-4.7611144E-001	37	1.9257712E-001
2	0	0	1	4.391655920816993E+002	-1.1313279E+000	-1.1307544E+000	-1.603517368828807E+002	-4.8160407E-001	37	1.8131842E-001
2	0	0	1	4.391989920808555E+002	-1.1279875E+000	-1.1280751E+000	-1.513576949617594E+002	-4.8679352E-001	37	1.7074285E-001
2	0	0	1	4.392321920800168E+002	-1.1246672E+000	-1.1256539E+000	-1.425231277310399E+002	-4.9165556E-001	37	1.6043171E-001
2	0	0	1	4.392655920791731E+002	-1.1213267E+000	-1.1221139E+000	-1.337854901917776E+002	-4.9625358E-001	37	1.5012257E-001
2	0	0	1	4.392989920783293E+002	-1.1179863E+000	-1.1196812E+000	-1.251250929004173E+002	-5.0056124E-001	37	1.4010023E-001
2	0	0	1	4.393321920774906E+002	-1.1146659E+000	-1.1146288E+000	-1.166936166058642E+002	-5.0455946E-001	37	1.3007006E-001
2	0	0	1	4.393655920766469E+002	-1.1113254E+000	-1.1126664E+000	-1.083025818775316E+002	-5.0830132E-001	37	1.2050464E-001
2	0	0	1	4.393989920758031E+002	-1.1079850E+000	-1.1091684E+000	-1.001206499377005E+002	-5.1176631E-001	37	1.1105067E-001
2	0	0	1	4.394321920749644E+002	-1.1046646E+000	-1.1059897E+000	-9.208453388549653E+001	-5.1494080E-001	37	1.0184455E-001
2	0	0	1	4.394655920741207E+002	-1.1013242E+000	-1.1038332E+000	-8.408899636303943E+001	-5.1786691E-001	37	9.2820227E-002
2	0	0	1	4.394989920732769E+002	-1.0979837E+000	-1.0988835E+000	-7.623943697947016E+001	-5.2052891E-001	37	8.3778262E-002
2	0	0	1	4.395321920724382E+002	-1.0946634E+000	-1.0956907E+000	-6.852028937595878E+001	-5.2291697E-001	37	7.5077042E-002
2	0	0	1	4.395655920715944E+002	-1.0913298E+000	-1.0912439E+000	-6.092573968322176E+001	-5.2506375E-001	37	6.6484839E-002
2	0	0	1	4.395989920707507E+002	-1.0879893E+000	-1.0873641E+000	-5.346860152880339E+001	-5.2695912E-001	37	5.8139838E-002
2	0	0	1	4.396323920699069E+002	-1.0846488E+000	-1.0850629E+000	-4.606648020744331E+001	-5.2860659E-001	37	4.9985025E-002
2	0	0	1	4.396805920686893E+002	-1.0798281E+000	-1.0798730E+000	-3.566670047305229E+001	-5.3054404E-001	37	3.8515504E-002
2	0	0	1	4.397289920674666E+002	-1.0749878E+000	-1.0753998E+000	-2.517948540029695E+001	-5.3213108E-001	38	2.7078012E-002
2	0	0	1	4.397623920666229E+002	-1.0716473E+000	-1.0744883E+000	-1.816404866600476E+001	-5.3284103E-001	38	1.9517057E-002
2	0	0	1	4.397955920657841E+002	-1.0683270E+000	-1.0667506E+000	-1.119256538053355E+001	-5.3331459E-001	38	1.1939676E-002
2	0	0	1	4.398289920649404E+002	-1.0649866E+000	-1.0683856E+000	-4.303265971880819E+000	-5.3355950E-001	38	4.5975475E-003
2	0	0	1	4.398623920640966E+002	-1.0616461E+000	-1.0622362E+000	2.492745658649064E+000	-5.3357607E-001	38	-2.6478847E-003
2	1	0	1	4.398955920632579E+002	-1.0583258E+000	-1.0585905E+000	9.149920389045150E+000	-5.3336960E-001	38	-9.6860193E-003
2	1	0	1	4.399289920624142E+002	-1.0549853E+000	-1.0558010E+000	1.579664897717816E+001	-5.3293961E-001	38	-1.6678119E-002
2	1	0	1	4.399623920615704E+002	-1.0516449E+000	-1.0512431E+000	2.237399196642423E+001	-5.3228885E-001	38	-2.3520503E-002
