mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	1	1.235931993193662E+002	-1.2439530E+000	-1.2445852E+000	-1.989681884167244E+002	-7.0860772E-003	37	6.4442247E-001	2.4763286E-001	-1.8890076E+000
2	0	0	1	1.237765993147332E+002	-1.2421198E+000	-1.2427511E+000	-1.965117510822176E+002	-4.3158893E-002	37	6.4374369E-001	2.4421521E-001	-1.8864949E+000
2	0	0	1	1.241099993063108E+002	-1.2387856E+000	-1.2392834E+000	-1.924782389641116E+002	-1.0792836E-001	37	6.4256042E-001	2.3853509E-001	-1.8818438E+000
2	0	0	1	1.244433992978884E+002	-1.2354516E+000	-1.2349290E+000	-1.883269592076281E+002	-1.7133163E-001	37	6.4105803E-001	2.3257041E-001	-1.8759871E+000
2	0	0	1	1.247766992894685E+002	-1.2321187E+000	-1.2328929E+000	-1.842251176361501E+002	-2.3334572E-001	37	6.3906538E-001	2.2712983E-001	-1.8719583E+000
2	0	0	1	1.251099992810487E+002	-1.2287856E+000	-1.2298695E+000	-1.802883945203689E+002	-2.9401532E-001	37	6.3782489E-001	2.2173120E-001	-1.8676944E+000
2	0	0	1	1.254433992726263E+002	-1.2254518E+000	-1.2256969E+000	-1.763347166328120E+002	-3.5338512E-001	37	6.3652819E-001	2.1613292E-001	-1.8622251E+000
2	0	0	1	1.257767992642039E+002	-1.2221177E+000	-1.2219015E+000	-1.723897242502082E+002	-4.1144019E-001	37	6.3486958E-001	2.1064326E-001	-1.8567711E+000
2	0	0	1	1.261101992557815E+002	-1.2187837E+000	-1.2187345E+000	-1.685460871383616E+002	-4.6820021E-001	37	6.3369274E-001	2.0541292E-001	-1.8524272E+000
2	0	0	1	1.264435992473591E+002	-1.2154496E+000	-1.2154994E+000	-1.646722432486515E+002	-5.2367407E-001	37	6.3174981E-001	2.0015901E-001	-1.8472493E+000
2	0	0	1	1.267769992389367E+002	-1.2121156E+000	-1.2124877E+000	-1.608080558612419E+002	-5.7785279E-001	37	6.3053137E-001	1.9497779E-001	-1.8430190E+000
2	0	0	1	1.271102992305168E+002	-1.2087828E+000	-1.2094363E+000	-1.571851503315125E+002	-6.3077301E-001	37	6.2916845E-001	1.9010542E-001	-1.8386047E+000
2	0	0	1	1.274436992220944E+002	-1.2054487E+000	-1.2057246E+000	-1.533821893971301E+002	-6.8247116E-001	37	6.2784803E-001	1.8493667E-001	-1.8335726E+000
2	0	0	1	1.277769992136746E+002	-1.2021158E+000	-1.2022108E+000	-1.495440364720208E+002	-7.3287481E-001	37	6.2616736E-001	1.7978345E-001	-1.8283782E+000
2	0	0	1	1.281103992052522E+002	-1.1987815E+000	-1.1991603E+000	-1.459083447681469E+002	-7.8205144E-001	37	6.2494355E-001	1.7496750E-001	-1.8241038E+000
2	0	0	1	1.284437991968298E+002	-1.1954478E+000	-1.1955234E+000	-1.422592073430214E+002	-8.3001721E-001	37	6.2308735E-001	1.7007421E-001	-1.8186107E+000
2	0	0	1	1.287771991884074E+002	-1.1921136E+000	-1.1922321E+000	-1.387228833526558E+002	-8.7678313E-001	37	6.2172431E-001	1.6538988E-001	-1.8139565E+000
