mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	5.790367898414115E+002	-1.2598430E+000	-1.2650462E+000	-3.912326262337820E+002	-2.1909026E-003	37	4.9492738E-001
2	0	0	1	5.790551898409467E+002	-1.2580098E+000	-1.2602963E+000	-5.648666805634657E+002	-1.2681015E-002	37	7.1189940E-001
2	0	0	1	5.790885898401029E+002	-1.2546697E+000	-1.2558471E+000	-5.180170408814056E+002	-3.0698676E-002	37	6.5055019E-001
2	0	0	1	5.791217898392642E+002	-1.2513491E+000	-1.2523769E+000	-4.864099992914539E+002	-4.7332786E-002	37	6.0916865E-001
2	0	0	1	5.791551898384205E+002	-1.2480086E+000	-1.2480673E+000	-4.602800166115921E+002	-6.3109845E-002	37	5.7446045E-001
2	0	0	1	5.791885898375767E+002	-1.2446684E+000	-1.2451587E+000	-4.373112076950083E+002	-7.8070924E-002	37	5.4452187E-001
2	0	0	1	5.792217898367380E+002	-1.2413480E+000	-1.2425653E+000	-4.165692519166737E+002	-9.2218779E-002	37	5.1761448E-001
2	0	0	1	5.792551898358943E+002	-1.2380074E+000	-1.2390972E+000	-3.972797334748730E+002	-1.0578479E-001	37	4.9226823E-001
2	0	0	1	5.792885898350505E+002	-1.2346672E+000	-1.2341888E+000	-3.791486324289117E+002	-1.1872757E-001	37	4.6794099E-001
2	0	0	1	5.793217898342118E+002	-1.2313467E+000	-1.2339191E+000	-3.621902500512879E+002	-1.3101119E-001	37	4.4691348E-001
2	0	0	1	5.793551898333681E+002	-1.2280062E+000	-1.2285280E+000	-3.459330009573468E+002	-1.4281423E-001	37	4.2498839E-001
2	0	0	1	5.793885898325243E+002	-1.2246659E+000	-1.2245970E+000	-3.303637531337035E+002	-1.5408649E-001	37	4.0456244E-001
2	0	0	1	5.794217898316856E+002	-1.2213455E+000	-1.2207267E+000	-3.154693628074494E+002	-1.6478662E-001	37	3.8510188E-001
2	0	0	1	5.794551898308418E+002	-1.2180051E+000	-1.2201966E+000	-3.010379370834219E+002	-1.7506193E-001	37	3.6732545E-001
