mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	1	0	0	7.323548262484983E+003	-9.5055044E-001	-9.5089644E-001	2.892773025266584E+001	9.8073983E-004	38	-1.1370987E+000	-2.7507275E-002	1.8620223E-001
2	1	0	1	7.323731662482780E+003	-9.5238477E-001	-9.5199406E-001	2.521161719647858E+001	5.6642559E-003	38	-1.1289690E+000	-2.4001310E-002	1.7697489E-001
2	1	0	1	7.324065062478716E+003	-9.5571876E-001	-9.5634788E-001	1.947430365877040E+001	1.3019956E-002	38	-1.0977517E+000	-1.8624209E-002	1.4140385E-001
2	1	0	1	7.324398362474683E+003	-9.5905173E-001	-9.5863521E-001	1.462567836401152E+001	1.8619496E-002	38	-1.0534248E+000	-1.4020691E-002	9.4789624E-002
2	1	0	1	7.324731762470663E+003	-9.6238571E-001	-9.6336651E-001	1.040953282879070E+001	2.2716735E-002	38	-9.9186599E-001	-1.0028196E-002	2.8499484E-002
2	1	0	1	7.325065062466609E+003	-9.6571863E-001	-9.6519250E-001	6.664518914920798E+000	2.5491916E-002	38	-9.0834981E-001	-6.4325435E-003	-5.6842685E-002
2	1	0	1	7.325415162462392E+003	-9.6921992E-001	-9.6872425E-001	3.169734558620604E+000	2.7119588E-002	38	-7.8507012E-001	-3.0705987E-003	-1.8365413E-001
2	1	0	1	7.325765262458139E+003	-9.7272086E-001	-9.7436398E-001	-1.779080484924656E-002	2.7630918E-002	39	-5.5528831E-001	1.7334720E-005	-4.1907567E-001
2	0	0	1	7.326098562454099E+003	-9.7605360E-001	-9.7602421E-001	-2.808872788098221E+000	2.7099481E-002	39	-1.6901132E-001	2.7415277E-003	-8.0701292E-001
2	0	0	1	7.326431862450088E+003	-9.7938687E-001	-9.7958106E-001	-5.365686746274960E+000	2.5678180E-002	39	1.2932540E-001	5.2561252E-003	-1.1089065E+000
2	0	0	1	7.326765262446032E+003	-9.8272055E-001	-9.8222017E-001	-7.732246347907456E+000	2.3438103E-002	39	3.1403035E-001	7.5947684E-003	-1.2962506E+000
2	0	0	1	7.327098662441997E+003	-9.8605472E-001	-9.8533481E-001	-9.940951080495381E+000	2.0432809E-002	39	4.0247196E-001	9.7951656E-003	-1.3878068E+000
2	0	0	1	7.327432062437954E+003	-9.8938870E-001	-9.8913819E-001	-1.187531727709123E+001	1.6739123E-002	38	4.2147240E-001	1.1746330E-002	-1.4106106E+000
2	0	0	1	7.327765462433919E+003	-9.9272269E-001	-9.9407125E-001	-1.379008510500239E+001	1.2408728E-002	38	4.2638955E-001	1.3708327E-002	-1.4204608E+000
2	0	0	1	7.328098862429906E+003	-9.9605685E-001	-9.9562079E-001	-1.570835707433307E+001	7.4395095E-003	38	4.3020427E-001	1.5639568E-002	-1.4258251E+000
2	0	0	1	7.328432262425849E+003	-9.9939054E-001	-9.9970132E-001	-1.761160846248799E+001	1.8325459E-003	38	4.3424016E-001	1.7606348E-002	-1.4339415E+000
2	0	0	1	7.328765562421810E+003	-1.0027239E+000	-1.0029181E+000	-1.951754982360501E+001	-4.4072578E-003	38	4.3820539E-001	1.9574504E-002	-1.4411235E+000
2	0	0	1	7.329098862417799E+003	-1.0060568E+000	-1.0066745E+000	-2.144201133751747E+001	-1.1285062E-002	38	4.4413370E-001	2.1585127E-002	-1.4508083E+000
